Year,Month,Date,Precip (mm),
2007,5,29,3.59999975,
2007,5,30,3.000999793,
2007,5,31,0.199999986,
2007,6,1,1.999999862,
2007,6,2,0.199999986,
2007,6,3,0,
2007,6,4,0,
2007,6,5,0.799999945,
2007,6,6,0,
2007,6,7,0.399999972,
2007,6,8,0,
2007,6,9,0,
2007,6,10,0,
2007,6,11,0,
2007,6,12,1.799999875,
2007,6,13,0,
2007,6,14,0,
2007,6,15,0,
2007,6,16,0,
2007,6,17,0,
2007,6,18,0,
2007,6,19,0,
2007,6,20,0,
2007,6,21,0.399999972,
2007,6,22,17.80399877,
2007,6,23,0,
2007,6,24,0.799999945,
2007,6,25,0,
2007,6,26,0,
2007,6,27,0,
2007,6,28,0,
2007,6,29,0,
2007,6,30,0,
2007,7,1,0,
2007,7,2,0,
2007,7,3,0,
2007,7,4,5.8009996,
2007,7,5,0,
2007,7,6,0,
2007,7,7,0,
2007,7,8,17.20399881,
2007,7,9,0,
2007,7,10,0,
2007,7,11,0.199999986,
2007,7,12,0.199999986,
2007,7,13,0.599999958,
2007,7,14,3.400999765,
2007,7,15,0,
2007,7,16,0,
2007,7,17,0,
2007,7,18,0,
2007,7,19,0,
2007,7,20,0,
2007,7,21,0,
2007,7,22,7.200999503,
2007,7,23,0,
2007,7,24,0,
2007,7,25,12.20299916,
2007,7,26,0.799999944,
2007,7,27,15.40099894,
2007,7,28,14.40299901,
2007,7,29,0.599999958,
2007,7,30,0,
2007,7,31,0,
2007,8,1,6.199999572,
2007,8,2,0.99999993,
2007,8,3,5.8009996,
2007,8,4,0,
2007,8,5,0,
2007,8,6,1.599999889,
2007,8,7,0,
2007,8,8,0,
2007,8,9,0,
2007,8,10,0,
2007,8,11,0,
2007,8,12,0,
2007,8,13,0.399999972,
2007,8,14,8.801999393,
2007,8,15,0.199999986,
2007,8,16,0,
2007,8,17,5.400999627,
2007,8,18,1.999999862,
2007,8,19,0.599999958,
2007,8,20,0,
2007,8,21,0,
2007,8,22,13.80399905,
2007,8,23,9.201999366,
2007,8,24,0,
2007,8,25,0,
2007,8,26,0,
2007,8,27,1.199999917,
2007,8,28,0.999999931,
2007,8,29,0,
2007,8,30,0,
2007,8,31,2.600999821,
2007,9,1,0,
2007,9,2,3.200999779,
2007,9,3,8.001999449,
2007,9,4,0,
2007,9,5,8.601999407,
2007,9,6,0,
2007,9,7,0,
2007,9,8,0,
2007,9,9,1.599999888,
2007,9,10,0.399999972,
2007,9,11,0,
2007,9,12,0,
2007,9,13,0,
2007,9,14,0,
2007,9,15,0,
2007,9,16,1.399999903,
2007,9,17,2.799999806,
2007,9,18,0,
2007,9,19,0,
2007,9,20,0,
2007,9,21,0,
2007,9,22,0,
2007,9,23,0.399999972,
2007,9,24,9.000999378,
2007,9,25,0,
2007,9,26,0,
2007,9,27,0,
2007,9,28,0,
2007,9,29,0,
2007,9,30,3.199999778,
2007,10,1,0,
2007,10,2,0,
2007,10,3,0,
2007,10,4,0,
2007,10,5,0,
2007,10,6,0,
2007,10,7,0,
2007,10,8,0,
2007,10,9,0,
2007,10,10,0,
2007,10,11,0,
2007,10,12,0,
2007,10,13,30.00499793,
2007,10,14,4.999999653,
2007,10,15,0,
2007,10,16,0,
2007,10,17,0,
2007,10,18,0,
2007,10,19,0,
2007,10,20,0.99999993,
2007,10,21,1.199999916,
2007,10,22,0,
2007,10,23,0,
2007,10,24,0,
2007,10,25,0,
2007,10,26,0,
2007,10,27,0,
2007,10,28,0,
2007,10,29,0,
2007,10,30,0,
2007,10,31,0,
2007,11,1,0,
2007,11,2,0,
2007,11,3,0,
2007,11,4,0,
2007,11,5,0,
2007,11,6,0,
2007,11,7,0,
2007,11,8,0,
2007,11,9,0,
2007,11,10,0,
2007,11,11,0,
2007,11,12,0,
2007,11,13,0.199999986,
2007,11,14,0,
2007,11,15,0,
2007,11,16,0,
2007,11,17,0,
2007,11,18,0,
2007,11,19,0,
2007,11,20,0,
2007,11,21,2.499999944,
2007,11,22,0.254,
2007,11,23,0,
2007,11,24,0.907999972,
2007,11,25,0,
2007,11,26,0,
2007,11,27,0.254,
2007,11,28,0,
2007,11,29,0,
2007,11,30,0,
2007,12,1,0,
2007,12,2,0,
2007,12,3,0,
2007,12,4,0,
2007,12,5,0,
2007,12,6,0,
2007,12,7,0.199999986,
2007,12,8,0,
2007,12,9,0,
2007,12,10,0,
2007,12,11,0,
2007,12,12,0,
2007,12,13,0,
2007,12,14,0,
2007,12,15,0,
2007,12,16,0,
2007,12,17,0.199999986,
2007,12,18,0,
2007,12,19,0,
2007,12,20,0,
2007,12,21,0,
2007,12,22,0,
2007,12,23,0,
2007,12,24,0,
2007,12,25,0,
2007,12,26,0.799999944,
2007,12,27,0,
2007,12,28,0,
2007,12,29,0,
2007,12,30,0,
2007,12,31,0,
2008,1,1,0,
2008,1,2,0,
2008,1,3,0,
2008,1,4,0,
2008,1,5,0,
2008,1,6,0,
2008,1,7,0,
2008,1,8,0,
2008,1,9,0,
2008,1,10,0,
2008,1,11,0,
2008,1,12,0,
2008,1,13,0,
2008,1,14,0,
2008,1,15,0,
2008,1,16,0,
2008,1,17,0,
2008,1,18,0,
2008,1,19,0,
2008,1,20,0,
2008,1,21,0,
2008,1,22,0,
2008,1,23,0,
2008,1,24,0,
2008,1,25,0,
2008,1,26,0,
2008,1,27,0,
2008,1,28,0,
2008,1,29,0,
2008,1,30,0,
2008,1,31,0,
2008,2,1,0,
2008,2,2,0,
2008,2,3,0,
2008,2,4,0,
2008,2,5,0,
2008,2,6,0,
2008,2,7,0,
2008,2,8,0,
2008,2,9,0,
2008,2,10,0,
2008,2,11,0,
2008,2,12,0,
2008,2,13,0,
2008,2,14,0,
2008,2,15,0,
2008,2,16,0,
2008,2,17,0,
2008,2,18,0,
2008,2,19,0,
2008,2,20,0,
2008,2,21,0,
2008,2,22,0,
2008,2,23,0,
2008,2,24,3.9,
2008,2,25,0,
2008,2,26,0,
2008,2,27,0,
2008,2,28,0,
2008,2,29,0,
2008,3,1,0,
2008,3,2,0,
2008,3,3,0,
2008,3,4,0,
2008,3,5,0.4,
2008,3,6,0,
2008,3,7,0,
2008,3,8,0,
2008,3,9,0,
2008,3,10,0,
2008,3,11,0,
2008,3,12,0,
2008,3,13,0,
2008,3,14,0,
2008,3,15,0.4,
2008,3,16,0.2,
2008,3,17,1.6,
2008,3,18,0,
2008,3,19,0,
2008,3,20,0,
2008,3,21,0,
2008,3,22,0,
2008,3,23,0,
2008,3,24,0,
2008,3,25,0,
2008,3,26,0,
2008,3,27,0,
2008,3,28,0,
2008,3,29,0,
2008,3,30,2.4,
2008,3,31,1,
2008,4,1,0,
2008,4,2,0,
2008,4,3,0,
2008,4,4,1.524,
2008,4,5,0,
2008,4,6,0,
2008,4,7,0.708,
2008,4,8,0,
2008,4,9,1,
2008,4,10,4.39,
2008,4,11,0.2,
2008,4,12,0,
2008,4,13,0,
2008,4,14,0,
2008,4,15,0,
2008,4,16,0,
2008,4,17,0,
2008,4,18,0,
2008,4,19,0,
2008,4,20,0,
2008,4,21,0,
2008,4,22,0,
2008,4,23,0,
2008,4,24,0,
2008,4,25,0,
2008,4,26,0.4,
2008,4,27,0,
2008,4,28,0,
2008,4,29,0,
2008,4,30,0,
2008,5,1,0,
2008,5,2,0,
2008,5,3,0,
2008,5,4,0,
2008,5,5,0,
2008,5,6,0,
2008,5,7,0,
2008,5,8,0.6,
2008,5,9,0.8,
2008,5,10,0.2,
2008,5,11,0,
2008,5,12,3.4,
2008,5,13,0.4,
2008,5,14,0.8,
2008,5,15,0.6,
2008,5,16,0,
2008,5,17,0,
2008,5,18,0,
2008,5,19,0,
2008,5,20,0,
2008,5,21,0,
2008,5,22,16.203,
2008,5,23,5.401,
2008,5,24,2.201,
2008,5,25,0,
2008,5,26,19.202,
2008,5,27,1.4,
2008,5,28,6.601,
2008,5,29,0.2,
2008,5,30,0,
2008,5,31,0.2,
2008,6,1,0,
2008,6,2,7.401,
2008,6,3,3.6,
2008,6,4,26.206,
2008,6,5,8.8,
2008,6,6,0,
2008,6,7,3,
2008,6,8,0,
2008,6,9,0,
2008,6,10,0,
2008,6,11,0,
2008,6,12,0,
2008,6,13,0,
2008,6,14,0,
2008,6,15,0,
2008,6,16,0,
2008,6,17,0,
2008,6,18,0,
2008,6,19,3.601,
2008,6,20,0.2,
2008,6,21,0,
2008,6,22,0.6,
2008,6,23,8.001,
2008,6,24,0,
2008,6,25,0,
2008,6,26,0,
2008,6,27,0,
2008,6,28,0,
2008,6,29,0,
2008,6,30,0,
2008,7,1,0,
2008,7,2,4.601,
2008,7,3,0,
2008,7,4,0,
2008,7,5,0,
2008,7,6,0,
2008,7,7,0,
2008,7,8,0,
2008,7,9,0,
2008,7,10,0,
2008,7,11,0,
2008,7,12,0,
2008,7,13,0,
2008,7,14,0,
2008,7,15,0,
2008,7,16,0,
2008,7,17,0,
2008,7,18,0,
2008,7,19,0,
2008,7,20,0,
2008,7,21,1.6,
2008,7,22,0,
2008,7,23,2,
2008,7,24,0,
2008,7,25,3.601,
2008,7,26,0,
2008,7,27,0,
2008,7,28,0,
2008,7,29,0,
2008,7,30,0,
2008,7,31,0,
2008,8,1,0,
2008,8,2,0,
2008,8,3,3.4,
2008,8,4,0,
2008,8,5,47.812,
2008,8,6,9.801,
2008,8,7,0,
2008,8,8,11.403,
2008,8,9,0,
2008,8,10,14.403,
2008,8,11,0,
2008,8,12,0,
2008,8,13,0,
2008,8,14,11.002,
2008,8,15,54.01,
2008,8,16,13.201,
2008,8,17,0,
2008,8,18,0,
2008,8,19,0,
2008,8,20,1,
2008,8,21,0,
2008,8,22,0,
2008,8,23,0,
2008,8,24,0,
2008,8,25,0.8,
2008,8,26,0,
2008,8,27,0,
2008,8,28,0,
2008,8,29,0,
2008,8,30,0,
2008,8,31,0,
2008,9,1,8.202,
2008,9,2,0,
2008,9,3,0,
2008,9,4,3.8,
2008,9,5,0,
2008,9,6,0,
2008,9,7,0.4,
2008,9,8,0.2,
2008,9,9,0,
2008,9,10,0,
2008,9,11,2.6,
2008,9,12,14.801,
2008,9,13,0,
2008,9,14,0,
2008,9,15,0,
2008,9,16,0,
2008,9,17,0,
2008,9,18,0,
2008,9,19,0.2,
2008,9,20,0.4,
2008,9,21,2.8,
2008,9,22,0,
2008,9,23,0,
2008,9,24,0,
2008,9,25,0,
2008,9,26,0,
2008,9,27,0,
2008,9,28,0,
2008,9,29,0,
2008,9,30,0,
2008,10,1,0,
2008,10,2,0,
2008,10,3,0,
2008,10,4,0.4,
2008,10,5,4.4,
2008,10,6,0,
2008,10,7,0,
2008,10,8,0,
2008,10,9,0,
2008,10,10,0,
2008,10,11,6.801,
2008,10,12,1.2,
2008,10,13,0,
2008,10,14,0,
2008,10,15,0,
2008,10,16,0,
2008,10,17,0,
2008,10,18,0,
2008,10,19,0,
2008,10,20,2.6,
2008,10,21,1.8,
2008,10,22,0,
2008,10,23,0,
2008,10,24,0,
2008,10,25,0,
2008,10,26,0,
2008,10,27,0,
2008,10,28,0,
2008,10,29,0,
2008,10,30,0,
2008,10,31,0,
2008,11,1,0,
2008,11,2,0,
2008,11,3,0,
2008,11,4,0,
2008,11,5,0,
2008,11,6,0,
2008,11,7,0,
2008,11,8,0,
2008,11,9,0,
2008,11,10,0,
2008,11,11,0,
2008,11,12,0,
2008,11,13,0,
2008,11,14,0,
2008,11,15,1.016,
2008,11,16,0.254,
2008,11,17,0,
2008,11,18,0,
2008,11,19,0,
2008,11,20,0,
2008,11,21,0,
2008,11,22,0,
2008,11,23,0,
2008,11,24,0,
2008,11,25,0,
2008,11,26,0,
2008,11,27,0,
2008,11,28,0,
2008,11,29,0.254,
2008,11,30,0,
2008,12,1,0,
2008,12,2,0,
2008,12,3,0,
2008,12,4,0,
2008,12,5,0,
2008,12,6,0,
2008,12,7,0,
2008,12,8,0,
2008,12,9,0,
2008,12,10,0,
2008,12,11,0,
2008,12,12,0,
2008,12,13,0,
2008,12,14,0,
2008,12,15,0,
2008,12,16,0,
2008,12,17,0,
2008,12,18,0,
2008,12,19,0,
2008,12,20,0,
2008,12,21,0,
2008,12,22,0,
2008,12,23,0,
2008,12,24,0,
2008,12,25,0,
2008,12,26,0,
2008,12,27,0,
2008,12,28,0,
2008,12,29,0,
2008,12,30,0,
2008,12,31,0,
2009,1,1,0,
2009,1,2,0,
2009,1,3,0,
2009,1,4,0,
2009,1,5,0,
2009,1,6,0,
2009,1,7,0,
2009,1,8,0,
2009,1,9,0,
2009,1,10,0,
2009,1,11,0,
2009,1,12,0,
2009,1,13,0,
2009,1,14,0,
2009,1,15,0,
2009,1,16,0,
2009,1,17,0,
2009,1,18,0,
2009,1,19,0,
2009,1,20,0,
2009,1,21,0,
2009,1,22,0,
2009,1,23,0,
2009,1,24,0,
2009,1,25,0,
2009,1,26,0,
2009,1,27,0,
2009,1,28,0,
2009,1,29,0,
2009,1,30,0,
2009,1,31,0,
2009,2,1,0,
2009,2,2,0,
2009,2,3,0,
2009,2,4,0,
2009,2,5,0,
2009,2,6,0,
2009,2,7,0,
2009,2,8,0,
2009,2,9,0,
2009,2,10,0,
2009,2,11,0,
2009,2,12,0,
2009,2,13,0.254,
2009,2,14,0,
2009,2,15,0.254,
2009,2,16,0,
2009,2,17,0.254,
2009,2,18,0,
2009,2,19,0,
2009,2,20,0,
2009,2,21,0,
2009,2,22,0,
2009,2,23,0,
2009,2,24,0,
2009,2,25,5.842,
2009,2,26,0,
2009,2,27,0,
2009,2,28,0,
2009,3,1,0.292,
2009,3,2,0.584,
2009,3,3,0,
2009,3,4,0,
2009,3,5,0,
2009,3,6,0,
2009,3,7,0,
2009,3,8,0,
2009,3,9,0,
2009,3,10,0,
2009,3,11,0.438,
2009,3,12,0.292,
2009,3,13,1.022,
2009,3,14,0.876,
2009,3,15,0,
2009,3,16,0,
2009,3,17,0,
2009,3,18,0,
2009,3,19,0,
2009,3,20,0,
2009,3,21,0.438,
2009,3,22,0.292,
2009,3,23,0,
2009,3,24,0.584,
2009,3,25,0,
2009,3,26,0.438,
2009,3,27,3.355,
2009,3,28,0,
2009,3,29,0.73,
2009,3,30,0,
2009,3,31,0,
2009,4,1,0,
2009,4,2,0,
2009,4,3,0,
2009,4,4,1.606,
2009,4,5,0.876,
2009,4,6,1.606,
2009,4,7,1.314,
2009,4,8,0.146,
2009,4,9,0,
2009,4,10,2.19,
2009,4,11,0,
2009,4,12,1.752,
2009,4,13,2.044,
2009,4,14,0,
2009,4,15,0.292,
2009,4,16,7.15,
2009,4,17,7.88,
2009,4,18,1.314,
2009,4,19,2.044,
2009,4,20,0.292,
2009,4,21,0.73,
2009,4,22,0.584,
2009,4,23,0.146,
2009,4,24,0,
2009,4,25,0,
2009,4,26,3.649,
2009,4,27,1.459,
2009,4,28,1.898,
2009,4,29,1.168,
2009,4,30,0,
2009,5,1,0,
2009,5,2,7.44,
2009,5,3,4.963,
2009,5,4,0.584,
2009,5,5,0.438,
2009,5,6,0.292,
2009,5,7,0.292,
2009,5,8,0,
2009,5,9,3.048,
2009,5,10,9.652,
2009,5,11,0.254,
2009,5,12,0,
2009,5,13,0,
2009,5,14,0,
2009,5,15,0,
2009,5,16,0,
2009,5,17,0,
2009,5,18,0,
2009,5,19,0.762,
2009,5,20,1.016,
2009,5,21,0,
2009,5,22,6.096,
2009,5,23,3.81,
2009,5,24,2.286,
2009,5,25,3.302,
2009,5,26,0,
2009,5,27,0,
2009,5,28,0,
2009,5,29,0,
2009,5,30,0,
2009,5,31,2.032,
2009,6,1,1.524,
2009,6,2,18.542,
2009,6,3,10.668,
2009,6,4,1.016,
2009,6,5,0,
2009,6,6,0,
2009,6,7,16.256,
2009,6,8,4.572,
2009,6,9,8.128,
2009,6,10,22.862,
2009,6,11,8.636,
2009,6,12,0.254,
2009,6,13,0.254,
2009,6,14,0,
2009,6,15,1.27,
2009,6,16,2.54,
2009,6,17,0,
2009,6,18,3.556,
2009,6,19,0,
2009,6,20,0,
2009,6,21,4.572,
2009,6,22,5.334,
2009,6,23,13.458,
2009,6,24,0,
2009,6,25,0,
2009,6,26,3.048,
2009,6,27,0,
2009,6,28,0,
2009,6,29,0,
2009,6,30,0,
2009,7,1,3.81,
2009,7,2,0,
2009,7,3,8.894,
2009,7,4,15.498,
2009,7,5,8.382,
2009,7,6,0,
2009,7,7,14.224,
2009,7,8,0,
2009,7,9,0,
2009,7,10,0,
2009,7,11,0.508,
2009,7,12,9.146,
2009,7,13,2.54,
2009,7,14,0,
2009,7,15,0,
2009,7,16,0,
2009,7,17,0,
2009,7,18,0,
2009,7,19,0,
2009,7,20,0,
2009,7,21,0,
2009,7,22,0,
2009,7,23,0,
2009,7,24,0.254,
2009,7,25,2.032,
2009,7,26,0,
2009,7,27,1.778,
2009,7,28,0,
2009,7,29,8.636,
2009,7,30,0,
2009,7,31,0.762,
2009,8,1,0.254,
2009,8,2,0,
2009,8,3,0,
2009,8,4,0,
2009,8,5,0.508,
2009,8,6,1.016,
2009,8,7,4.572,
2009,8,8,0,
2009,8,9,0,
2009,8,10,0,
2009,8,11,0,
2009,8,12,0,
2009,8,13,0,
2009,8,14,0.508,
2009,8,15,1.27,
2009,8,16,1.016,
2009,8,17,0,
2009,8,18,1.016,
2009,8,19,0,
2009,8,20,0,
2009,8,21,0,
2009,8,22,0,
2009,8,23,3.81,
2009,8,24,0,
2009,8,25,11.428,
2009,8,26,0,
2009,8,27,0,
2009,8,28,0,
2009,8,29,0,
2009,8,30,0.254,
2009,8,31,0,
2009,9,1,0,
2009,9,2,0,
2009,9,3,0,
2009,9,4,0,
2009,9,5,0,
2009,9,6,3.048,
2009,9,7,0.254,
2009,9,8,8.128,
2009,9,9,0,
2009,9,10,0,
2009,9,11,0,
2009,9,12,0.508,
2009,9,13,0.762,
2009,9,14,2.794,
2009,9,15,8.13,
2009,9,16,0,
2009,9,17,0,
2009,9,18,0,
2009,9,19,0,
2009,9,20,0,
2009,9,21,7.62,
2009,9,22,0.254,
2009,9,23,0,
2009,9,24,0.254,
2009,9,25,1.524,
2009,9,26,0,
2009,9,27,0,
2009,9,28,0,
2009,9,29,0,
2009,9,30,0,
2009,10,1,0,
2009,10,2,0,
2009,10,3,0,
2009,10,4,6.604,
2009,10,5,0.508,
2009,10,6,0,
2009,10,7,0.254,
2009,10,8,5.842,
2009,10,9,5.588,
2009,10,10,12.954,
2009,10,11,1.524,
2009,10,12,3.302,
2009,10,13,0.762,
2009,10,14,3.302,
2009,10,15,7.366,
2009,10,16,3.556,
2009,10,17,0,
2009,10,18,1.016,
2009,10,19,0,
2009,10,20,0.762,
2009,10,21,0,
2009,10,22,0,
2009,10,23,0,
2009,10,24,1.778,
2009,10,25,0,
2009,10,26,0,
2009,10,27,2.032,
2009,10,28,1.778,
2009,10,29,5.334,
2009,10,30,4.064,
2009,10,31,0,
2009,11,1,1.016,
2009,11,2,0,
2009,11,3,0.762,
2009,11,4,0,
2009,11,5,0,
2009,11,6,0,
2009,11,7,0,
2009,11,8,0,
2009,11,9,0,
2009,11,10,0,
2009,11,11,0,
2009,11,12,0,
2009,11,13,0.254,
2009,11,14,2.286,
2009,11,15,5.334,
2009,11,16,0.508,
2009,11,17,2.032,
2009,11,18,0,
2009,11,19,0,
2009,11,20,0,
2009,11,21,0,
2009,11,22,0,
2009,11,23,0.254,
2009,11,24,0.254,
2009,11,25,0,
2009,11,26,0,
2009,11,27,0,
2009,11,28,0,
2009,11,29,0,
2009,11,30,0,
2009,12,1,0,
2009,12,2,0,
2009,12,3,0,
2009,12,4,0.254,
2009,12,5,0,
2009,12,6,0,
2009,12,7,0,
2009,12,8,4.318,
2009,12,9,2.794,
2009,12,10,1.27,
2009,12,11,0.762,
2009,12,12,1.016,
2009,12,13,0,
2009,12,14,0.254,
2009,12,15,0,
2009,12,16,0,
2009,12,17,2.54,
2009,12,18,0,
2009,12,19,0,
2009,12,20,0,
2009,12,21,0.508,
2009,12,22,0,
2009,12,23,0,
2009,12,24,2.54,
2009,12,25,6.096,
2009,12,26,0.762,
2009,12,27,0,
2009,12,28,0,
2009,12,29,0,
2009,12,30,0,
2009,12,31,0,
2010,1,1,0,
2010,1,2,0,
2010,1,3,0,
2010,1,4,0,
2010,1,5,0,
2010,1,6,0,
2010,1,7,0,
2010,1,8,0,
2010,1,9,0,
2010,1,10,0,
2010,1,11,0,
2010,1,12,0,
2010,1,13,0,
2010,1,14,0,
2010,1,15,0,
2010,1,16,0,
2010,1,17,0,
2010,1,18,0,
2010,1,19,0,
2010,1,20,0,
2010,1,21,0,
2010,1,22,0,
2010,1,23,0,
2010,1,24,0,
2010,1,25,0,
2010,1,26,0,
2010,1,27,0,
2010,1,28,0,
2010,1,29,0,
2010,1,30,0,
2010,1,31,0,
2010,2,1,0,
2010,2,2,0.762,
2010,2,3,0,
2010,2,4,0.199999986,
2010,2,5,1.016,
2010,2,6,0,
2010,2,7,0,
2010,2,8,0,
2010,2,9,0,
2010,2,10,0,
2010,2,11,0,
2010,2,12,0.254,
2010,2,13,0.762,
2010,2,14,0.762,
2010,2,15,0,
2010,2,16,0,
2010,2,17,0,
2010,2,18,0,
2010,2,19,2.123999959,
2010,2,20,4.517999986,
2010,2,21,5.842,
2010,2,22,3.302,
2010,2,23,1.37,
2010,2,24,0.961999986,
2010,2,25,0,
2010,2,26,0.254,
2010,2,27,0,
2010,2,28,0,
2010,3,1,0.399999972,
2010,3,2,0.762,
2010,3,3,1.016,
2010,3,4,0.254,
2010,3,5,0.999999931,
2010,3,6,5.749999972,
2010,3,7,3.048,
2010,3,8,0,
2010,3,9,0.254,
2010,3,10,0.254,
2010,3,11,0,
2010,3,12,2.032,
2010,3,13,0,
2010,3,14,0,
2010,3,15,0,
2010,3,16,0.254,
2010,3,17,0,
2010,3,18,0,
2010,3,19,0,
2010,3,20,1.215999986,
2010,3,21,0.254,
2010,3,22,1.27,
2010,3,23,6.299999958,
2010,3,24,3.199999778,
2010,3,25,0.761999986,
2010,3,26,1.27,
2010,3,27,3.302,
2010,3,28,0,
2010,3,29,0,
2010,3,30,0,
2010,3,31,0,
2010,4,1,3.399999765,
2010,4,2,7,
2010,4,3,0,
2010,4,4,0,
2010,4,5,1.199999986,
2010,4,6,3.05,
2010,4,7,1.399999903,
2010,4,8,0,
2010,4,9,0,
2010,4,10,0,
2010,4,11,0,
2010,4,12,0,
2010,4,13,0,
2010,4,14,0,
2010,4,15,0,
2010,4,16,0,
2010,4,17,3.299999875,
2010,4,18,0,
2010,4,19,0,
2010,4,20,0.254,
2010,4,21,0.599999958,
2010,4,22,38.00499772,
2010,4,23,25.80199822,
2010,4,24,3.799999972,
2010,4,25,0.254,
2010,4,26,0,
2010,4,27,0,
2010,4,28,0.254,
2010,4,29,3.799999958,
2010,4,30,0.499999986,
2010,5,1,0,
2010,5,2,0,
2010,5,3,0,
2010,5,4,0,
2010,5,5,0,
2010,5,6,0.599999959,
2010,5,7,0,
2010,5,8,0,
2010,5,9,0,
2010,5,10,1.199999917,
2010,5,11,2.999999793,
2010,5,12,8.000999449,
2010,5,13,0,
2010,5,14,16.40199887,
2010,5,15,6.999999515,
2010,5,16,0.399999972,
2010,5,17,0.199999986,
2010,5,18,13.20099909,
2010,5,19,0.599999959,
2010,5,20,0,
2010,5,21,0,
2010,5,22,0,
2010,5,23,0,
2010,5,24,0,
2010,5,25,0,
2010,5,26,5.000999655,
2010,5,27,0,
2010,5,28,0,
2010,5,29,0,
2010,5,30,0,
2010,5,31,0,
2010,6,1,0,
2010,6,2,0,
2010,6,3,0,
2010,6,4,0,
2010,6,5,0.799999945,
2010,6,6,1.599999889,
2010,6,7,0.999999931,
2010,6,8,0.599999959,
2010,6,9,0,
2010,6,10,0,
2010,6,11,13.0029991,
2010,6,12,16.40099887,
2010,6,13,14.20199902,
2010,6,14,1.999999862,
2010,6,15,0,
2010,6,16,1.799999876,
2010,6,17,0,
2010,6,18,0,
2010,6,19,0,
2010,6,20,0,
2010,6,21,0,
2010,6,22,0,
2010,6,23,0,
2010,6,24,0,
2010,6,25,0,
2010,6,26,2.399999835,
2010,6,27,0,
2010,6,28,0,
2010,6,29,0,
2010,6,30,0,
2010,7,1,5.000999655,
2010,7,2,1.399999903,
2010,7,3,0,
2010,7,4,9.202999365,
2010,7,5,0,
2010,7,6,0.199999986,
2010,7,7,0,
2010,7,8,0,
2010,7,9,6.000999586,
2010,7,10,0,
2010,7,11,11.00199924,
2010,7,12,0,
2010,7,13,0,
2010,7,14,0,
2010,7,15,0,
2010,7,16,0,
2010,7,17,0,
2010,7,18,0,
2010,7,19,0,
2010,7,20,0,
