date,PHACE_mean_atmospheric pressure_hPa_gap-filled
4/23/2008,800.8666667
4/24/2008,800.93125
4/25/2008,805.7208333
4/26/2008,810.90625
4/27/2008,813.3208333
4/28/2008,808.1229167
4/29/2008,801.50625
4/30/2008,792.19375
5/1/2008,795.1354167
5/2/2008,802.3875
5/3/2008,807.5375
5/4/2008,807.5875
5/5/2008,807.14375
5/6/2008,802.0333333
5/7/2008,801.6291667
5/8/2008,800.4020833
5/9/2008,801.3458333
5/10/2008,805.9729167
5/11/2008,803.4729167
5/12/2008,797.8583333
5/13/2008,806.58125
5/14/2008,807.4083333
5/15/2008,813.225
5/16/2008,813.9770833
5/17/2008,812.6125
5/18/2008,806.2229167
5/19/2008,806.2604167
5/20/2008,805.9104167
5/21/2008,791.4854167
5/22/2008,788.91875
5/23/2008,795.7541667
5/24/2008,800.4666667
5/25/2008,803.8833333
5/26/2008,806.29375
5/27/2008,810.9541667
5/28/2008,809.0333333
5/29/2008,804.6604167
5/30/2008,808.3166667
5/31/2008,810.3979167
6/1/2008,808.0708333
6/2/2008,803.7604167
6/3/2008,800.8958333
6/4/2008,795.83125
6/5/2008,795.4729167
6/6/2008,799.6604167
6/7/2008,802.8520833
6/8/2008,805.63125
6/9/2008,806.8395833
6/10/2008,800.1479167
6/11/2008,800.5
6/12/2008,805.6791667
6/13/2008,810.4895833
6/14/2008,809.7145833
6/15/2008,809.2958333
6/16/2008,811.2770833
6/17/2008,810.8916667
6/18/2008,809.7166667
6/19/2008,811.0229167
6/20/2008,814.9916667
6/21/2008,815.8354167
6/22/2008,811.3416667
6/23/2008,810.89375
6/24/2008,810.3833333
6/25/2008,810.6854167
6/26/2008,807.0395833
6/27/2008,808.9979167
6/28/2008,815.775
6/29/2008,816.5291667
6/30/2008,813.09375
7/1/2008,809.775
7/2/2008,810.48125
7/3/2008,811.7291667
7/4/2008,809.7729167
7/5/2008,807.4770833
7/6/2008,807.8666667
7/7/2008,808.5770833
7/8/2008,810.2854167
7/9/2008,810.3270833
7/10/2008,806.70625
7/11/2008,807.7666667
7/12/2008,814.675
7/13/2008,810.8458333
7/14/2008,808.1208333
7/15/2008,810.1645833
7/16/2008,811.0041667
7/17/2008,811.45
7/18/2008,808.9729167
7/19/2008,808.3958333
7/20/2008,810.1708333
7/21/2008,810.3625
7/22/2008,809.3833333
7/23/2008,809.68125
7/24/2008,810.575
7/25/2008,813.5166667
7/26/2008,811.24375
7/27/2008,807.85
7/28/2008,807.825
7/29/2008,809.2333333
7/30/2008,807.5125
7/31/2008,809.3645833
8/1/2008,808.5958333
8/2/2008,807.6770833
8/3/2008,808.5395833
8/4/2008,810.6541667
8/5/2008,814.1333333
8/6/2008,814.4145833
8/7/2008,814.15625
8/8/2008,809.4854167
8/9/2008,808.7895833
8/10/2008,809.9791667
8/11/2008,808.6145833
8/12/2008,808.38125
8/13/2008,808.6291667
8/14/2008,811.6416667
8/15/2008,815.20625
8/16/2008,814.475
8/17/2008,811.1541667
8/18/2008,810.55625
8/19/2008,808.2145833
8/20/2008,805.6416667
8/21/2008,803.8708333
8/22/2008,809.74375
8/23/2008,813.3520833
8/24/2008,812.0625
8/25/2008,807.9895833
8/26/2008,804.3166667
8/27/2008,806.9354167
8/28/2008,810.2979167
8/29/2008,810.6958333
8/30/2008,806.5270833
8/31/2008,801.60625
9/1/2008,803.2041667
9/2/2008,814.0229167
9/3/2008,810.8125
9/4/2008,808.8229167
9/5/2008,809.8916667
9/6/2008,809.7458333
9/7/2008,810.6875
9/8/2008,812.83125
9/9/2008,806.2291667
9/10/2008,804.39375
9/11/2008,810.00625
9/12/2008,807.3083333
9/13/2008,808.0770833
9/14/2008,814.6520833
9/15/2008,816.3729167
9/16/2008,814.6979167
9/17/2008,812.7604167
9/18/2008,810.9875
9/19/2008,812.3458333
9/20/2008,810.54375
9/21/2008,807.2
9/22/2008,806.45625
9/23/2008,813.2729167
9/24/2008,814.83125
9/25/2008,812.2708333
9/26/2008,812.3875
9/27/2008,814.14375
9/28/2008,814.1875
9/29/2008,817.09375
9/30/2008,815.8604167
10/1/2008,814.01875
10/2/2008,808.2729167
10/3/2008,805.3708333
10/4/2008,800.86875
10/5/2008,800.875
10/6/2008,809.0854167
10/7/2008,811.61875
10/8/2008,808.6854167
10/9/2008,803.3854167
10/10/2008,801.81875
10/11/2008,802.9666667
10/12/2008,804.0229167
10/13/2008,813.98125
10/14/2008,812.26875
10/15/2008,814.1
10/16/2008,812.1729167
10/17/2008,815.1729167
10/18/2008,811.125
10/19/2008,811.40625
10/20/2008,813.2333333
10/21/2008,808.075
10/22/2008,815.0645833
10/23/2008,808.1458333
10/24/2008,807.3291667
10/25/2008,806.0666667
10/26/2008,817.9125
10/27/2008,819.5083333
10/28/2008,817.1541667
10/29/2008,811.8958333
10/30/2008,813.15
10/31/2008,817.65625
11/1/2008,814.8104167
11/2/2008,805.7041667
11/3/2008,804.2479167
11/4/2008,796.8020833
11/5/2008,797.2208333
11/6/2008,804.3375
11/7/2008,807.175
11/8/2008,807.025
11/9/2008,801.00625
11/10/2008,799.0333333
11/11/2008,803.0208333
11/12/2008,802.7520833
11/13/2008,798.2
11/14/2008,811.6666667
11/15/2008,813.0104167
11/16/2008,812.0583333
11/17/2008,815.9604167
11/18/2008,813.975
11/19/2008,813.01875
11/20/2008,818.7125
11/21/2008,807.7979167
11/22/2008,807.56875
11/23/2008,809.225
11/24/2008,812.0395833
11/25/2008,809.9208333
11/26/2008,808.1916667
11/27/2008,809.1458333
11/28/2008,802.8333333
11/29/2008,802.3416667
11/30/2008,804.66875
12/1/2008,803.8291667
12/2/2008,802.15
12/3/2008,800.1458333
12/4/2008,808.5208333
12/5/2008,812.2604167
12/6/2008,805.3229167
12/7/2008,807.6354167
12/8/2008,803.4479167
12/9/2008,796.96875
12/10/2008,808.4375
12/11/2008,809.9458333
12/12/2008,801.3270833
12/13/2008,785.5458333
12/14/2008,796.5083333
12/15/2008,804.0583333
12/16/2008,797.0541667
12/17/2008,801.2041667
12/18/2008,798.1229167
12/19/2008,798.9041667
12/20/2008,802.3708333
12/21/2008,807.9416667
12/22/2008,791.1083333
12/23/2008,790.3291667
12/24/2008,798.7770833
12/25/2008,792.2854167
12/26/2008,789.1854167
12/27/2008,797.9958333
12/28/2008,805.1520833
12/29/2008,807.5395833
12/30/2008,806.9145833
12/31/2008,803.3770833
