DOY,atmCO2
186.75,373
187.00,374
187.25,375
187.50,376
187.75,377
188.00,378
188.25,379
188.50,380
188.75,381
189.00,382
189.25,383
189.50,384
189.75,385
190.00,386
190.25,387
190.50,388
190.75,389
191.00,390
191.25,391
191.50,392
191.75,393
192.00,394
192.25,395
192.50,396
192.75,397
193.00,398
193.25,399
193.50,400
193.75,401
194.00,402
194.25,403
194.50,404
194.75,405
195.00,406
195.25,407
195.50,408
195.75,409
196.00,410
196.25,411
196.50,412
196.75,413
197.00,414
197.25,415
197.50,416
197.75,417
198.00,418
198.25,419
198.50,420
198.75,421
199.00,422
199.25,423
199.50,424
199.75,425
200.00,426
200.25,427
200.50,428
200.75,429
201.00,430
201.25,431
201.50,432
201.75,433
202.00,434
202.25,435
202.50,436
202.75,437
203.00,438
203.25,439
203.50,440
203.75,441
204.00,442
204.25,443
204.50,444
204.75,445
205.00,446
205.25,447
205.50,448
205.75,449
206.00,450
206.25,451
206.50,452
206.75,453
207.00,454
207.25,455
207.50,456
207.75,457
208.00,458
208.25,459
208.50,460
208.75,461
209.00,462
209.25,463
209.50,464
209.75,465
210.00,466
210.25,467
210.50,468
210.75,469
211.00,470
211.25,471
211.50,472
211.75,473
212.00,474
212.25,475
212.50,476
212.75,477
213.00,478
213.25,479
213.50,480
213.75,481
214.00,482
214.25,483
214.50,484
214.75,485
215.00,486
215.25,487
215.50,488
215.75,489
216.00,490
216.25,491
216.50,492
216.75,493
217.00,494
217.25,495
217.50,496
217.75,497
218.00,498
218.25,499
218.50,500
218.75,501
219.00,502
219.25,503
219.50,504
219.75,505
220.00,506
220.25,507
220.50,508
220.75,509
221.00,510
221.25,511
221.50,512
221.75,513
222.00,514
222.25,515
222.50,516
222.75,517
223.00,518
223.25,519
223.50,520
223.75,521
224.00,522
224.25,523
224.50,524
224.75,525
225.00,526
225.25,527
225.50,528
225.75,529
226.00,530
226.25,531
226.50,532
226.75,533
227.00,534
227.25,535
227.50,536
227.75,537
228.00,538
228.25,539
228.50,540
228.75,541
229.00,542
229.25,543
229.50,544
229.75,545
230.00,546
230.25,547
230.50,548
230.75,549
231.00,550
231.25,551
231.50,552
231.75,553
232.00,554
232.25,555
232.50,556
232.75,557
233.00,558
233.25,559
233.50,560
233.75,561
234.00,562
234.25,563
234.50,564
234.75,565
235.00,566
235.25,567
235.50,568
235.75,569
236.00,570
236.25,571
236.50,572
236.75,573
237.00,574
237.25,575
237.50,576
237.75,577
238.00,578
238.25,579
238.50,580
238.75,581
239.00,582
239.25,583
239.50,584
239.75,585
240.00,586
240.25,587
240.50,588
240.75,589
241.00,590
241.25,591
241.50,592
241.75,593
242.00,594
242.25,595
242.50,596
242.75,597
243.00,598
243.25,599
243.50,600
243.75,601
244.00,602
244.25,603
244.50,604
244.75,605
245.00,606
245.25,607
245.50,608
245.75,609
246.00,610
246.25,611
246.50,612
246.75,613
247.00,614
247.25,615
247.50,616
247.75,617
248.00,618
248.25,619
248.50,620
248.75,621
249.00,622
249.25,623
249.50,624
249.75,625
250.00,626
250.25,627
250.50,628
250.75,629
251.00,630
251.25,631
251.50,632
251.75,633
252.00,634
252.25,635
252.50,636
252.75,637
253.00,638
253.25,639
253.50,640
253.75,641
254.00,642
254.25,643
254.50,644
254.75,645
255.00,646
255.25,647
255.50,648
255.75,649
256.00,650
256.25,651
256.50,652
256.75,653
257.00,654
257.25,655
257.50,656
257.75,657
258.00,658
258.25,659
258.50,660
258.75,661
259.00,662
259.25,663
259.50,664
259.75,665
260.00,666
260.25,667
260.50,668
260.75,669
261.00,670
261.25,671
261.50,672
261.75,673
262.00,674
262.25,675
262.50,676
262.75,677
263.00,678
263.25,679
263.50,680
263.75,681
264.00,682
264.25,683
264.50,684
264.75,685
265.00,686
265.25,687
265.50,688
265.75,689
266.00,690
266.25,691
266.50,692
266.75,693
267.00,694
267.25,695
267.50,696
267.75,697
268.00,698
268.25,699
268.50,700
268.75,701
269.00,702
269.25,703
269.50,704
269.75,705
270.00,706
270.25,707
270.50,708
270.75,709
271.00,710
271.25,711
271.50,712
271.75,713
272.00,714
272.25,715
272.50,716
272.75,717
273.00,718
273.25,719
273.50,720
273.75,721
274.00,722
